"sample";"year";"plot";"sp";"lambda"
1;2018;7;"LEMA";NA
1;2018;7;"LYTR";NA
1;2018;7;"MEEL";NA
1;2018;7;"MESU";NA
1;2018;7;"PAIN";NA
1;2018;7;"PLCO";NA
1;2018;7;"POMA";NA
1;2018;7;"POMO";NA
1;2018;7;"PUPA";NA
1;2018;7;"SASO";95,4751271705692
1;2018;7;"SCLA";NA
1;2018;7;"SOAS";NA
1;2018;7;"SPRU";NA
1;2018;7;"SUSP";NA
1;2018;8;"BEMA";NA
1;2018;8;"CETE";NA
1;2018;8;"CHFU";NA
1;2018;8;"CHMI";NA
1;2018;8;"HOMA";NA
1;2018;8;"LEMA";NA
1;2018;8;"LYTR";NA
1;2018;8;"MEEL";NA
1;2018;8;"MESU";NA
1;2018;8;"PAIN";NA
1;2018;8;"PLCO";NA
1;2018;8;"POMA";NA
1;2018;8;"POMO";NA
1;2018;8;"PUPA";NA
1;2018;8;"SASO";NA
1;2018;8;"SCLA";NA
1;2018;8;"SOAS";NA
1;2018;8;"SPRU";NA
1;2018;8;"SUSP";NA
1;2018;9;"BEMA";NA
1;2018;9;"CETE";NA
1;2018;9;"CHFU";NA
1;2018;9;"CHMI";NA
1;2018;9;"HOMA";NA
1;2018;9;"LEMA";NA
1;2018;9;"LYTR";NA
1;2018;9;"MEEL";NA
1;2018;9;"MESU";NA
1;2018;9;"PAIN";NA
1;2018;9;"PLCO";NA
1;2018;9;"POMA";NA
1;2018;9;"POMO";NA
1;2018;9;"PUPA";NA
1;2018;9;"SASO";NA
1;2018;9;"SCLA";NA
1;2018;9;"SOAS";NA
1;2018;9;"SPRU";NA
1;2018;9;"SUSP";NA
1;2019;1;"BEMA";NA
1;2019;1;"CETE";NA
1;2019;1;"CHFU";742,83818320293
1;2019;1;"CHMI";NA
1;2019;1;"HOMA";13,8618805573825
1;2019;1;"LEMA";251,900973198852
1;2019;1;"LYTR";NA
1;2019;1;"MEEL";11,5353860929364
1;2019;1;"MESU";618,770829271131
1;2019;1;"PAIN";1,01176927074989
1;2019;1;"PLCO";NA
1;2019;1;"POMA";76,4202848497492
1;2019;1;"POMO";NA
1;2019;1;"PUPA";NA
1;2019;1;"SASO";23,0193062048987
1;2019;1;"SCLA";NA
1;2019;1;"SOAS";NA
1;2019;1;"SPRU";NA
1;2019;1;"SUSP";NA
1;2019;2;"BEMA";121,658974526065
1;2019;2;"CETE";3101,65641708877
1;2019;2;"CHFU";742,83818320293
1;2019;2;"CHMI";372,153249702092
1;2019;2;"HOMA";13,8618805573825
1;2019;2;"LEMA";251,900973198852
1;2019;2;"LYTR";NA
1;2019;2;"MEEL";11,5353860929364
1;2019;2;"MESU";618,770829271131
1;2019;2;"PAIN";1,01176927074989
1;2019;2;"PLCO";NA
1;2019;2;"POMA";76,4202848497492
1;2019;2;"POMO";NA
1;2019;2;"PUPA";1466,94760035892
1;2019;2;"SASO";23,0193062048987
1;2019;2;"SCLA";51,8578063420741
1;2019;2;"SOAS";501,371119706587
1;2019;2;"SPRU";NA
1;2019;2;"SUSP";NA
1;2019;3;"BEMA";NA
1;2019;3;"CETE";NA
1;2019;3;"CHFU";742,83818320293
1;2019;3;"CHMI";NA
1;2019;3;"HOMA";13,8618805573825
1;2019;3;"LEMA";251,900973198852
1;2019;3;"LYTR";NA
1;2019;3;"MEEL";NA
1;2019;3;"MESU";618,770829271131
1;2019;3;"PAIN";1,01176927074989
