"year";"plot";"focal";"neighbour";"magnitude"
2015;1;"SCLA";"CHFU";0,166247749021021
2015;1;"SCLA";"CHMI";NA
2015;1;"SCLA";"HOMA";0,167460178310445
2015;1;"SCLA";"LEMA";0,0915364642821567
2015;1;"SCLA";"LYTR";NA
2015;1;"SCLA";"MEEL";NA
2015;1;"SCLA";"MESU";0,0844395242497561
2015;1;"SCLA";"PAIN";0,0379055869191526
2015;1;"SCLA";"PLCO";0,188815390721193
2015;1;"SCLA";"POMA";-0,0193391867141065
2015;1;"SCLA";"POMO";-0,0751578535788234
2015;1;"SCLA";"PUPA";NA
2015;1;"SCLA";"SASO";0,0283168438335598
2015;1;"SCLA";"SCLA";-0,122355633948689
2015;1;"SCLA";"SOAS";0,829705893833337
2015;1;"SCLA";"SPRU";NA
2015;1;"SCLA";"SUSP";NA
2015;1;"SOAS";"BEMA";NA
2015;1;"SOAS";"CETE";-0,217837207117718
2015;1;"SOAS";"CHFU";0,0936727284623828
2015;1;"SOAS";"CHMI";NA
2015;1;"SOAS";"HOMA";-0,0323526695549528
2015;1;"SOAS";"LEMA";0,0226600495400155
2015;1;"SOAS";"LYTR";NA
2015;1;"SOAS";"MEEL";-0,29602695230989
2015;1;"SOAS";"MESU";-0,0414699570148324
2015;1;"SOAS";"PAIN";NA
2015;1;"SOAS";"PLCO";0,00673614161345292
2015;1;"SOAS";"POMA";-0,0503160712806831
2015;1;"SOAS";"POMO";NA
2015;1;"SOAS";"PUPA";NA
2015;1;"SOAS";"SASO";-0,0126364724858058
2015;1;"SOAS";"SCLA";NA
2015;1;"SOAS";"SOAS";NA
2015;1;"SOAS";"SPRU";NA
2015;1;"SOAS";"SUSP";NA
2015;1;"SPRU";"BEMA";NA
2015;1;"SPRU";"CETE";-0,014427712441543
2015;1;"SPRU";"CHFU";-0,0404413422254586
2015;1;"SPRU";"CHMI";NA
2015;1;"SPRU";"HOMA";0,194181458925595
2015;1;"SPRU";"LEMA";0,670712573861496
2015;1;"SPRU";"LYTR";NA
2015;1;"SPRU";"MEEL";NA
2015;1;"SPRU";"MESU";NA
2015;1;"SPRU";"PAIN";-0,0367258279960726
2015;1;"SPRU";"PLCO";-0,133410972037944
2015;1;"SPRU";"POMA";0,0237835175173507
2015;1;"SPRU";"POMO";0,403327566632175
2015;1;"SPRU";"PUPA";NA
2015;1;"SPRU";"SASO";NA
2015;1;"SPRU";"SCLA";NA
2015;1;"SPRU";"SOAS";NA
2015;1;"SPRU";"SPRU";NA
2015;1;"SPRU";"SUSP";NA
2015;1;"SUSP";"BEMA";NA
2015;1;"SUSP";"CETE";NA
2015;1;"SUSP";"CHFU";NA
2015;1;"SUSP";"CHMI";NA
2015;1;"SUSP";"HOMA";NA
2015;1;"SUSP";"LEMA";NA
2015;1;"SUSP";"LYTR";NA
2015;1;"SUSP";"MEEL";NA
2015;1;"SUSP";"MESU";NA
2015;1;"SUSP";"PAIN";NA
2015;1;"SUSP";"PLCO";NA
2015;1;"SUSP";"POMA";NA
2015;1;"SUSP";"POMO";NA
2015;1;"SUSP";"PUPA";NA
2015;1;"SUSP";"SASO";NA
2015;1;"SUSP";"SCLA";NA
2015;1;"SUSP";"SOAS";NA
2015;1;"SUSP";"SPRU";NA
2015;1;"SUSP";"SUSP";NA
2015;2;"BEMA";"BEMA";-0,0310905485134823
2015;2;"BEMA";"CETE";-0,104396939200777
2015;2;"BEMA";"CHFU";0,124698554778658
2015;2;"BEMA";"CHMI";NA
2015;2;"BEMA";"HOMA";0,120552933196231
2015;2;"BEMA";"LEMA";-0,0794336252297707
2015;2;"BEMA";"LYTR";NA
2015;2;"BEMA";"MEEL";0,669456208606425
2015;2;"BEMA";"MESU";-0,031371563347055
2015;2;"BEMA";"PAIN";-0,02925026700836
2015;2;"BEMA";"PLCO";0,156022193434522
2015;2;"BEMA";"POMA";-0,161047330674275
2015;2;"BEMA";"POMO";NA
2015;2;"BEMA";"PUPA";NA
2015;2;"BEMA";"SASO";-0,000660580132244859
2015;2;"BEMA";"SCLA";NA
2015;2;"BEMA";"SOAS";-0,175637457056209
2015;2;"BEMA";"SPRU";NA
2015;2;"BEMA";"SUSP";NA
2015;2;"CETE";"BEMA";-0,00583017121462963
2015;2;"CETE";"CETE";-0,0447103192538621
2015;2;"CETE";"CHFU";0,133552997272637
2015;2;"CETE";"CHMI";NA
2015;2;"CETE";"HOMA";0,0435365865023885
2015;2;"CETE";"LEMA";-0,100177553332302
2015;2;"CETE";"LYTR";NA
2015;2;"CETE";"MEEL";-0,300340375480725
2015;2;"CETE";"MESU";0,0935122583005196
2015;2;"CETE";"PAIN";0,0609351284487086
2015;2;"CETE";"PLCO";-0,0604090087807334
2015;2;"CETE";"POMA";0,00489594295487657
2015;2;"CETE";"POMO";-0,0159271707646206
2015;2;"CETE";"PUPA";0,0444090062106929
2015;2;"CETE";"SASO";0,0413554689807393
2015;2;"CETE";"SCLA";-0,0968107733382391
2015;2;"CETE";"SOAS";NA
2015;2;"CETE";"SPRU";NA
2015;2;"CETE";"SUSP";NA
2015;2;"CHFU";"BEMA";0,0894580484410502
2015;2;"CHFU";"CETE";NA
2015;2;"CHFU";"CHFU";0,0573257581789388
2015;2;"CHFU";"CHMI";NA
2015;2;"CHFU";"HOMA";0,0637067459984882
2015;2;"CHFU";"LEMA";-0,117170439285898
2015;2;"CHFU";"LYTR";NA
2015;2;"CHFU";"MEEL";-0,209968404452016
2015;2;"CHFU";"MESU";-0,0315530049454465
2015;2;"CHFU";"PAIN";NA
2015;2;"CHFU";"PLCO";0,167665174428157
2015;2;"CHFU";"POMA";0,174797599113674
2015;2;"CHFU";"POMO";-0,143569462649527
2015;2;"CHFU";"PUPA";NA
2015;2;"CHFU";"SASO";NA
2015;2;"CHFU";"SCLA";-0,010919867396029
2015;2;"CHFU";"SOAS";0,228898527257565
2015;2;"CHFU";"SPRU";NA
2015;2;"CHFU";"SUSP";NA
2015;2;"CHMI";"BEMA";NA
2015;2;"CHMI";"CETE";NA
2015;2;"CHMI";"CHFU";NA
2015;2;"CHMI";"CHMI";NA
2015;2;"CHMI";"HOMA";NA
2015;2;"CHMI";"LEMA";NA
2015;2;"CHMI";"LYTR";NA
2015;2;"CHMI";"MEEL";NA
2015;2;"CHMI";"MESU";NA
2015;2;"CHMI";"PAIN";NA
2015;2;"CHMI";"PLCO";NA
2015;2;"CHMI";"POMA";NA
2015;2;"CHMI";"POMO";NA
2015;2;"CHMI";"PUPA";NA
2015;2;"CHMI";"SASO";NA
2015;2;"CHMI";"SCLA";NA
2015;2;"CHMI";"SOAS";NA
2015;2;"CHMI";"SPRU";NA
2015;2;"CHMI";"SUSP";NA
2015;2;"HOMA";"BEMA";-0,0908567025107339
2015;2;"HOMA";"CETE";-0,009131441436738
2015;2;"HOMA";"CHFU";0,160037905680169
2015;2;"HOMA";"CHMI";NA
2015;2;"HOMA";"HOMA";0,0317112619986654
2015;2;"HOMA";"LEMA";0,0988467933847128
2015;2;"HOMA";"LYTR";NA
2015;2;"HOMA";"MEEL";0,276414361523122
2015;2;"HOMA";"MESU";0,0705053451113317
2015;2;"HOMA";"PAIN";0,0314827247502573
2015;2;"HOMA";"PLCO";0,118005132028827
2015;2;"HOMA";"POMA";-0,00904431053780736
2015;2;"HOMA";"POMO";-0,0120508465261756
2015;2;"HOMA";"PUPA";-0,00806771070883718
2015;2;"HOMA";"SASO";0,0829437585760598
2015;2;"HOMA";"SCLA";0,0770904956249609
2015;2;"HOMA";"SOAS";0,00602870157964619
2015;2;"HOMA";"SPRU";0,110130012266471
2015;2;"HOMA";"SUSP";NA
2015;2;"LEMA";"BEMA";NA
2015;2;"LEMA";"CETE";-0,0387669820382552
2015;2;"LEMA";"CHFU";0,0158479185525152
2015;2;"LEMA";"CHMI";NA
2015;2;"LEMA";"HOMA";0,0160977622537207
2015;2;"LEMA";"LEMA";-0,0224179970039351
2015;2;"LEMA";"LYTR";NA
2015;2;"LEMA";"MEEL";NA
2015;2;"LEMA";"MESU";0,0341982755449707
2015;2;"LEMA";"PAIN";-0,0371694676023491
2015;2;"LEMA";"PLCO";0,0860514487561831
2015;2;"LEMA";"POMA";0,0229874484917925
2015;2;"LEMA";"POMO";NA
2015;2;"LEMA";"PUPA";-0,164891541991547
2015;2;"LEMA";"SASO";-0,0127616750697661
2015;2;"LEMA";"SCLA";0,0294667642868095
2015;2;"LEMA";"SOAS";NA
2015;2;"LEMA";"SPRU";NA
2015;2;"LEMA";"SUSP";NA
2015;2;"LYTR";"BEMA";NA
2015;2;"LYTR";"CETE";NA
2015;2;"LYTR";"CHFU";NA
2015;2;"LYTR";"CHMI";NA
2015;2;"LYTR";"HOMA";NA
2015;2;"LYTR";"LEMA";NA
2015;2;"LYTR";"LYTR";NA
2015;2;"LYTR";"MEEL";NA
2015;2;"LYTR";"MESU";NA
2015;2;"LYTR";"PAIN";NA
2015;2;"LYTR";"PLCO";NA
2015;2;"LYTR";"POMA";NA
2015;2;"LYTR";"POMO";NA
2015;2;"LYTR";"PUPA";NA
2015;2;"LYTR";"SASO";NA
2015;2;"LYTR";"SCLA";NA
2015;2;"LYTR";"SOAS";NA
2015;2;"LYTR";"SPRU";NA
2015;2;"LYTR";"SUSP";NA
2015;2;"MEEL";"BEMA";NA
2015;2;"MEEL";"CETE";0,0373218021043696
2015;2;"MEEL";"CHFU";0,0228533468016166
2015;2;"MEEL";"CHMI";NA
2015;2;"MEEL";"HOMA";0,0810973463162069
2015;2;"MEEL";"LEMA";0,0772469537160859
2015;2;"MEEL";"LYTR";NA
2015;2;"MEEL";"MEEL";0,111703978664541
2015;2;"MEEL";"MESU";-0,00284047704000136
2015;2;"MEEL";"PAIN";0,045756101488124
2015;2;"MEEL";"PLCO";0,104147877709142
2015;2;"MEEL";"POMA";0,0248603471427317
2015;2;"MEEL";"POMO";0,245365906882516
2015;2;"MEEL";"PUPA";-0,132345409773433
2015;2;"MEEL";"SASO";0,116448151854773
2015;2;"MEEL";"SCLA";0,0331562651828419
2015;2;"MEEL";"SOAS";NA
2015;2;"MEEL";"SPRU";-0,204427502396877
2015;2;"MEEL";"SUSP";NA
2015;2;"MESU";"BEMA";-0,0654903752328654
2015;2;"MESU";"CETE";0,0275038729032609
2015;2;"MESU";"CHFU";0,101266787942863
2015;2;"MESU";"CHMI";NA
2015;2;"MESU";"HOMA";0,22433706070368
2015;2;"MESU";"LEMA";0,148094863616222
2015;2;"MESU";"LYTR";NA
2015;2;"MESU";"MEEL";0,0757691546199715
2015;2;"MESU";"MESU";0,0952821117969108
2015;2;"MESU";"PAIN";-0,0318527919800553
2015;2;"MESU";"PLCO";0,0322889783597307
2015;2;"MESU";"POMA";0,00555991222438554
2015;2;"MESU";"POMO";0,199861006700334
2015;2;"MESU";"PUPA";0,382787761619656
2015;2;"MESU";"SASO";0,0316493980366831
2015;2;"MESU";"SCLA";0,357428477289119
2015;2;"MESU";"SOAS";0,201719142064834
2015;2;"MESU";"SPRU";-0,401795111457182
2015;2;"MESU";"SUSP";NA
2015;2;"PAIN";"BEMA";0,0957748441846681
2015;2;"PAIN";"CETE";0,00546545318943751
2015;2;"PAIN";"CHFU";0,104021654201936
2015;2;"PAIN";"CHMI";NA
2015;2;"PAIN";"HOMA";0,207449780775261
2015;2;"PAIN";"LEMA";0,246185393223398
2015;2;"PAIN";"LYTR";NA
2015;2;"PAIN";"MEEL";0,0501538280116239
2015;2;"PAIN";"MESU";0,204921368443946
2015;2;"PAIN";"PAIN";0,0407046101400136
2015;2;"PAIN";"PLCO";0,0330142786159612
2015;2;"PAIN";"POMA";-0,0014906463556397
2015;2;"PAIN";"POMO";0,210835713104826
2015;2;"PAIN";"PUPA";0,123113697143704
2015;2;"PAIN";"SASO";-0,0141195296984234
2015;2;"PAIN";"SCLA";0,127348695760679
2015;2;"PAIN";"SOAS";NA
2015;2;"PAIN";"SPRU";NA
2015;2;"PAIN";"SUSP";NA
2015;2;"PLCO";"BEMA";0,0708041189559258
2015;2;"PLCO";"CETE";0,021161295537809
2015;2;"PLCO";"CHFU";-0,00149164158973042
2015;2;"PLCO";"CHMI";NA
2015;2;"PLCO";"HOMA";0,133091561264087
2015;2;"PLCO";"LEMA";0,00321050107373802
2015;2;"PLCO";"LYTR";NA
2015;2;"PLCO";"MEEL";-0,153355239895665
2015;2;"PLCO";"MESU";0,359138770829806
2015;2;"PLCO";"PAIN";-0,121803036241501
2015;2;"PLCO";"PLCO";0,0543375780302188
2015;2;"PLCO";"POMA";0,00163337732101124
2015;2;"PLCO";"POMO";NA
2015;2;"PLCO";"PUPA";-0,0485177080856231
2015;2;"PLCO";"SASO";0,0378350999904533
2015;2;"PLCO";"SCLA";NA
2015;2;"PLCO";"SOAS";NA
2015;2;"PLCO";"SPRU";NA
2015;2;"PLCO";"SUSP";NA
2015;2;"POMA";"BEMA";NA
2015;2;"POMA";"CETE";0,152094267882679
2015;2;"POMA";"CHFU";0,264411415077997
2015;2;"POMA";"CHMI";NA
2015;2;"POMA";"HOMA";0,342566643130719
2015;2;"POMA";"LEMA";0,682694204294452
2015;2;"POMA";"LYTR";NA
2015;2;"POMA";"MEEL";0,338923327396803
2015;2;"POMA";"MESU";0,104423606802975
2015;2;"POMA";"PAIN";0,407584495355731
2015;2;"POMA";"PLCO";0,175001587797418
2015;2;"POMA";"POMA";0,109645721147425
2015;2;"POMA";"POMO";0,118090572773447
2015;2;"POMA";"PUPA";-0,00450117600564709
2015;2;"POMA";"SASO";0,0146574175295538
2015;2;"POMA";"SCLA";0,373576636689666
2015;2;"POMA";"SOAS";-0,0168768188033267
2015;2;"POMA";"SPRU";NA
2015;2;"POMA";"SUSP";NA
2015;2;"POMO";"BEMA";0,517005965830877
2015;2;"POMO";"CETE";0,0814913771269283
2015;2;"POMO";"CHFU";0,292964110794013
2015;2;"POMO";"CHMI";NA
2015;2;"POMO";"HOMA";0,225060766113929
2015;2;"POMO";"LEMA";0,401371738873667
2015;2;"POMO";"LYTR";NA
2015;2;"POMO";"MEEL";0,267935532922269
2015;2;"POMO";"MESU";0,0132515943120139
2015;2;"POMO";"PAIN";0,0768337475540349
2015;2;"POMO";"PLCO";0,152083449415472
2015;2;"POMO";"POMA";0,0515631390900083
2015;2;"POMO";"POMO";0,198969412335551
2015;2;"POMO";"PUPA";-0,0834802260525503
2015;2;"POMO";"SASO";0,00974869130102665
