"year";"n.plots";"plots";"richness"
"2016";"3";"5_7_8";17
"2017";"3";"5_7_8";12
"2018";"3";"5_7_8";5
"2019";"3";"5_7_8";17
"2015";"3";"5_7_9";18
"2016";"3";"5_7_9";18
"2017";"3";"5_7_9";12
"2018";"3";"5_7_9";5
"2019";"3";"5_7_9";18
"2015";"3";"5_8_9";18
"2016";"3";"5_8_9";18
"2017";"3";"5_8_9";12
"2018";"3";"5_8_9";5
"2019";"3";"5_8_9";17
"2015";"3";"6_7_8";18
"2016";"3";"6_7_8";17
"2017";"3";"6_7_8";11
"2018";"3";"6_7_8";5
"2019";"3";"6_7_8";16
"2015";"3";"6_7_9";18
"2016";"3";"6_7_9";18
"2017";"3";"6_7_9";11
"2018";"3";"6_7_9";5
"2019";"3";"6_7_9";17
"2015";"3";"6_8_9";18
"2016";"3";"6_8_9";18
"2017";"3";"6_8_9";11
"2018";"3";"6_8_9";5
"2019";"3";"6_8_9";16
"2015";"3";"7_8_9";8
"2016";"3";"7_8_9";17
"2017";"3";"7_8_9";8
"2018";"3";"7_8_9";1
"2019";"3";"7_8_9";17
"2015";"4";"1_2_3_4";19
"2016";"4";"1_2_3_4";14
"2017";"4";"1_2_3_4";17
"2018";"4";"1_2_3_4";16
"2019";"4";"1_2_3_4";16
"2015";"4";"1_2_3_5";16
"2016";"4";"1_2_3_5";14
"2017";"4";"1_2_3_5";17
"2018";"4";"1_2_3_5";14
"2019";"4";"1_2_3_5";14
"2015";"4";"1_2_3_6";17
"2016";"4";"1_2_3_6";15
"2017";"4";"1_2_3_6";17
"2018";"4";"1_2_3_6";14
"2019";"4";"1_2_3_6";16
"2015";"4";"1_2_3_7";18
"2016";"4";"1_2_3_7";17
"2017";"4";"1_2_3_7";16
"2018";"4";"1_2_3_7";14
"2019";"4";"1_2_3_7";17
"2015";"4";"1_2_3_8";18
"2016";"4";"1_2_3_8";17
"2017";"4";"1_2_3_8";16
"2018";"4";"1_2_3_8";14
"2019";"4";"1_2_3_8";17
"2015";"4";"1_2_3_9";18
"2016";"4";"1_2_3_9";17
"2017";"4";"1_2_3_9";15
"2018";"4";"1_2_3_9";14
"2019";"4";"1_2_3_9";17
"2015";"4";"1_2_4_5";19
"2016";"4";"1_2_4_5";14
"2017";"4";"1_2_4_5";17
"2018";"4";"1_2_4_5";15
"2019";"4";"1_2_4_5";16
"2015";"4";"1_2_4_6";19
"2016";"4";"1_2_4_6";15
"2017";"4";"1_2_4_6";17
"2018";"4";"1_2_4_6";15
"2019";"4";"1_2_4_6";16
"2015";"4";"1_2_4_7";19
"2016";"4";"1_2_4_7";18
"2017";"4";"1_2_4_7";17
"2018";"4";"1_2_4_7";15
"2019";"4";"1_2_4_7";17
"2015";"4";"1_2_4_8";19
"2016";"4";"1_2_4_8";18
"2017";"4";"1_2_4_8";17
"2018";"4";"1_2_4_8";15
"2019";"4";"1_2_4_8";17
"2015";"4";"1_2_4_9";19
"2016";"4";"1_2_4_9";18
"2017";"4";"1_2_4_9";17
"2018";"4";"1_2_4_9";15
"2019";"4";"1_2_4_9";18
"2015";"4";"1_2_5_6";17
