"fit.type";"year";"n.plots";"plots";"num.sp"
"heterogeneous";2018;3;"1_4_8";6
"heterogeneous";2019;3;"1_4_8";13
"heterogeneous";2015;3;"1_4_9";16
"heterogeneous";2016;3;"1_4_9";13
"heterogeneous";2017;3;"1_4_9";12
"heterogeneous";2018;3;"1_4_9";6
"heterogeneous";2019;3;"1_4_9";11
"heterogeneous";2015;3;"1_5_6";16
"heterogeneous";2016;3;"1_5_6";13
"heterogeneous";2017;3;"1_5_6";11
"heterogeneous";2018;3;"1_5_6";7
"heterogeneous";2019;3;"1_5_6";8
"heterogeneous";2015;3;"1_5_7";16
"heterogeneous";2016;3;"1_5_7";15
"heterogeneous";2017;3;"1_5_7";9
"heterogeneous";2018;3;"1_5_7";7
"heterogeneous";2019;3;"1_5_7";16
"heterogeneous";2015;3;"1_5_8";16
"heterogeneous";2016;3;"1_5_8";15
"heterogeneous";2017;3;"1_5_8";9
"heterogeneous";2018;3;"1_5_8";7
"heterogeneous";2019;3;"1_5_8";13
"heterogeneous";2015;3;"1_5_9";16
"heterogeneous";2016;3;"1_5_9";14
"heterogeneous";2017;3;"1_5_9";9
"heterogeneous";2018;3;"1_5_9";7
"heterogeneous";2019;3;"1_5_9";11
"heterogeneous";2015;3;"1_6_7";16
"heterogeneous";2016;3;"1_6_7";14
"heterogeneous";2017;3;"1_6_7";10
"heterogeneous";2018;3;"1_6_7";6
"heterogeneous";2019;3;"1_6_7";16
"heterogeneous";2015;3;"1_6_8";16
"heterogeneous";2016;3;"1_6_8";14
"heterogeneous";2017;3;"1_6_8";10
"heterogeneous";2018;3;"1_6_8";6
"heterogeneous";2019;3;"1_6_8";13
"heterogeneous";2015;3;"1_6_9";16
"heterogeneous";2016;3;"1_6_9";13
"heterogeneous";2017;3;"1_6_9";10
"heterogeneous";2018;3;"1_6_9";6
"heterogeneous";2019;3;"1_6_9";11
"heterogeneous";2015;3;"1_7_8";16
"heterogeneous";2016;3;"1_7_8";14
"heterogeneous";2017;3;"1_7_8";6
"heterogeneous";2018;3;"1_7_8";6
"heterogeneous";2019;3;"1_7_8";16
"heterogeneous";2015;3;"1_7_9";16
"heterogeneous";2016;3;"1_7_9";14
"heterogeneous";2017;3;"1_7_9";5
"heterogeneous";2018;3;"1_7_9";6
"heterogeneous";2019;3;"1_7_9";16
"heterogeneous";2015;3;"1_8_9";16
"heterogeneous";2016;3;"1_8_9";13
"heterogeneous";2017;3;"1_8_9";6
"heterogeneous";2018;3;"1_8_9";6
"heterogeneous";2019;3;"1_8_9";13
"heterogeneous";2015;3;"2_3_4";16
"heterogeneous";2016;3;"2_3_4";10
"heterogeneous";2017;3;"2_3_4";16
"heterogeneous";2018;3;"2_3_4";8
"heterogeneous";2019;3;"2_3_4";13
"heterogeneous";2015;3;"2_3_5";16
"heterogeneous";2016;3;"2_3_5";11
"heterogeneous";2017;3;"2_3_5";15
"heterogeneous";2018;3;"2_3_5";8
"heterogeneous";2019;3;"2_3_5";10
"heterogeneous";2015;3;"2_3_6";16
"heterogeneous";2016;3;"2_3_6";12
"heterogeneous";2017;3;"2_3_6";15
"heterogeneous";2018;3;"2_3_6";8
"heterogeneous";2019;3;"2_3_6";12
"heterogeneous";2015;3;"2_3_7";16
"heterogeneous";2016;3;"2_3_7";13
"heterogeneous";2017;3;"2_3_7";14
"heterogeneous";2018;3;"2_3_7";8
"heterogeneous";2019;3;"2_3_7";16
"heterogeneous";2015;3;"2_3_8";16
"heterogeneous";2016;3;"2_3_8";13
"heterogeneous";2017;3;"2_3_8";14
"heterogeneous";2018;3;"2_3_8";8
"heterogeneous";2019;3;"2_3_8";15
"heterogeneous";2015;3;"2_3_9";16
"heterogeneous";2016;3;"2_3_9";12
"heterogeneous";2017;3;"2_3_9";14
"heterogeneous";2018;3;"2_3_9";8
"heterogeneous";2019;3;"2_3_9";15
"heterogeneous";2015;3;"2_4_5";16
"heterogeneous";2016;3;"2_4_5";11
"heterogeneous";2017;3;"2_4_5";14
"heterogeneous";2018;3;"2_4_5";8
"heterogeneous";2019;3;"2_4_5";13
"heterogeneous";2015;3;"2_4_6";16
"heterogeneous";2016;3;"2_4_6";12
"heterogeneous";2017;3;"2_4_6";14
"heterogeneous";2018;3;"2_4_6";8
"heterogeneous";2019;3;"2_4_6";13
"heterogeneous";2015;3;"2_4_7";16
"heterogeneous";2016;3;"2_4_7";14
"heterogeneous";2017;3;"2_4_7";14
"heterogeneous";2018;3;"2_4_7";8
"heterogeneous";2019;3;"2_4_7";16
"heterogeneous";2015;3;"2_4_8";16
"heterogeneous";2016;3;"2_4_8";14
"heterogeneous";2017;3;"2_4_8";14
"heterogeneous";2018;3;"2_4_8";8
"heterogeneous";2019;3;"2_4_8";15
"heterogeneous";2015;3;"2_4_9";16
"heterogeneous";2016;3;"2_4_9";13
"heterogeneous";2017;3;"2_4_9";14
"heterogeneous";2018;3;"2_4_9";8
"heterogeneous";2019;3;"2_4_9";15
"heterogeneous";2015;3;"2_5_6";16
"heterogeneous";2016;3;"2_5_6";13
"heterogeneous";2017;3;"2_5_6";14
"heterogeneous";2018;3;"2_5_6";8
"heterogeneous";2019;3;"2_5_6";12
"heterogeneous";2015;3;"2_5_7";16
"heterogeneous";2016;3;"2_5_7";15
"heterogeneous";2017;3;"2_5_7";13
"heterogeneous";2018;3;"2_5_7";8
"heterogeneous";2019;3;"2_5_7";16
"heterogeneous";2015;3;"2_5_8";16
"heterogeneous";2016;3;"2_5_8";15
"heterogeneous";2017;3;"2_5_8";13
"heterogeneous";2018;3;"2_5_8";8
"heterogeneous";2019;3;"2_5_8";15
"heterogeneous";2015;3;"2_5_9";16
"heterogeneous";2016;3;"2_5_9";14
"heterogeneous";2017;3;"2_5_9";13
"heterogeneous";2018;3;"2_5_9";8
"heterogeneous";2019;3;"2_5_9";15
"heterogeneous";2015;3;"2_6_7";16
"heterogeneous";2016;3;"2_6_7";14
"heterogeneous";2017;3;"2_6_7";13
"heterogeneous";2018;3;"2_6_7";8
"heterogeneous";2019;3;"2_6_7";16
"heterogeneous";2015;3;"2_6_8";16
"heterogeneous";2016;3;"2_6_8";14
"heterogeneous";2017;3;"2_6_8";13
"heterogeneous";2018;3;"2_6_8";8
"heterogeneous";2019;3;"2_6_8";15
"heterogeneous";2015;3;"2_6_9";16
"heterogeneous";2016;3;"2_6_9";13
"heterogeneous";2017;3;"2_6_9";13
"heterogeneous";2018;3;"2_6_9";8
"heterogeneous";2019;3;"2_6_9";15
"heterogeneous";2015;3;"2_7_8";16
"heterogeneous";2016;3;"2_7_8";14
"heterogeneous";2017;3;"2_7_8";11
"heterogeneous";2018;3;"2_7_8";8
"heterogeneous";2019;3;"2_7_8";16
"heterogeneous";2015;3;"2_7_9";16
"heterogeneous";2016;3;"2_7_9";14
"heterogeneous";2017;3;"2_7_9";11
"heterogeneous";2018;3;"2_7_9";8
"heterogeneous";2019;3;"2_7_9";16
"heterogeneous";2015;3;"2_8_9";16
"heterogeneous";2016;3;"2_8_9";13
"heterogeneous";2017;3;"2_8_9";11
"heterogeneous";2018;3;"2_8_9";8
