"year";"plot";"sp";"pairwise";"indirect";"dominant";"transient"
2016;1;"MEEL";FALSE;FALSE;FALSE;FALSE
2017;1;"MEEL";FALSE;FALSE;FALSE;FALSE
2018;1;"MEEL";FALSE;FALSE;FALSE;FALSE
2019;1;"MEEL";TRUE;FALSE;FALSE;FALSE
2015;2;"MEEL";TRUE;TRUE;FALSE;FALSE
2016;2;"MEEL";FALSE;FALSE;FALSE;FALSE
2017;2;"MEEL";FALSE;FALSE;FALSE;TRUE
2018;2;"MEEL";FALSE;FALSE;FALSE;FALSE
2019;2;"MEEL";FALSE;FALSE;FALSE;TRUE
2015;3;"MEEL";FALSE;FALSE;FALSE;TRUE
2016;3;"MEEL";FALSE;FALSE;FALSE;FALSE
2017;3;"MEEL";FALSE;FALSE;FALSE;FALSE
2018;3;"MEEL";FALSE;FALSE;FALSE;FALSE
2019;3;"MEEL";FALSE;FALSE;FALSE;FALSE
2015;4;"MEEL";FALSE;FALSE;FALSE;TRUE
2016;4;"MEEL";TRUE;TRUE;FALSE;FALSE
2017;4;"MEEL";FALSE;FALSE;FALSE;FALSE
2018;4;"MEEL";FALSE;FALSE;FALSE;FALSE
2019;4;"MEEL";FALSE;FALSE;FALSE;FALSE
2015;5;"MEEL";FALSE;FALSE;FALSE;TRUE
2016;5;"MEEL";TRUE;TRUE;FALSE;FALSE
2017;5;"MEEL";FALSE;FALSE;FALSE;FALSE
2018;5;"MEEL";FALSE;FALSE;FALSE;FALSE
2019;5;"MEEL";FALSE;FALSE;FALSE;TRUE
2015;6;"MEEL";TRUE;TRUE;FALSE;FALSE
2016;6;"MEEL";TRUE;TRUE;FALSE;FALSE
2017;6;"MEEL";FALSE;FALSE;FALSE;FALSE
2018;6;"MEEL";FALSE;FALSE;FALSE;FALSE
2019;6;"MEEL";FALSE;FALSE;FALSE;FALSE
2015;7;"MEEL";FALSE;FALSE;FALSE;FALSE
2016;7;"MEEL";FALSE;FALSE;FALSE;FALSE
2017;7;"MEEL";FALSE;FALSE;FALSE;FALSE
2018;7;"MEEL";FALSE;FALSE;FALSE;FALSE
2019;7;"MEEL";FALSE;FALSE;FALSE;FALSE
2015;8;"MEEL";FALSE;FALSE;FALSE;FALSE
2016;8;"MEEL";FALSE;FALSE;FALSE;FALSE
2017;8;"MEEL";FALSE;FALSE;FALSE;FALSE
2018;8;"MEEL";FALSE;FALSE;FALSE;FALSE
2019;8;"MEEL";FALSE;FALSE;FALSE;FALSE
2015;9;"MEEL";FALSE;FALSE;FALSE;FALSE
2016;9;"MEEL";FALSE;FALSE;FALSE;FALSE
2017;9;"MEEL";FALSE;FALSE;FALSE;FALSE
2018;9;"MEEL";FALSE;FALSE;FALSE;FALSE
2019;9;"MEEL";FALSE;FALSE;FALSE;FALSE
2015;1;"MESU";TRUE;TRUE;FALSE;FALSE
2016;1;"MESU";TRUE;TRUE;FALSE;FALSE
2017;1;"MESU";FALSE;FALSE;FALSE;TRUE
2018;1;"MESU";FALSE;FALSE;FALSE;FALSE
2019;1;"MESU";TRUE;TRUE;FALSE;FALSE
2015;2;"MESU";TRUE;TRUE;FALSE;FALSE
2016;2;"MESU";TRUE;TRUE;FALSE;FALSE
2017;2;"MESU";TRUE;TRUE;FALSE;FALSE
2018;2;"MESU";FALSE;FALSE;FALSE;TRUE
2019;2;"MESU";FALSE;TRUE;FALSE;FALSE
2015;3;"MESU";TRUE;TRUE;FALSE;FALSE
2016;3;"MESU";TRUE;TRUE;FALSE;FALSE
2017;3;"MESU";TRUE;TRUE;FALSE;FALSE
2018;3;"MESU";FALSE;FALSE;FALSE;FALSE
2019;3;"MESU";FALSE;FALSE;FALSE;TRUE
2015;4;"MESU";FALSE;FALSE;FALSE;TRUE
2016;4;"MESU";TRUE;TRUE;FALSE;FALSE
2017;4;"MESU";FALSE;FALSE;FALSE;FALSE
2018;4;"MESU";FALSE;FALSE;FALSE;FALSE
2019;4;"MESU";FALSE;FALSE;FALSE;TRUE
2015;5;"MESU";FALSE;FALSE;FALSE;TRUE
2016;5;"MESU";TRUE;TRUE;FALSE;FALSE
2017;5;"MESU";FALSE;FALSE;FALSE;FALSE
2018;5;"MESU";FALSE;FALSE;FALSE;FALSE
2019;5;"MESU";FALSE;FALSE;FALSE;FALSE
2015;6;"MESU";TRUE;TRUE;FALSE;FALSE
2016;6;"MESU";TRUE;TRUE;FALSE;FALSE
2017;6;"MESU";FALSE;FALSE;FALSE;FALSE
2018;6;"MESU";FALSE;FALSE;FALSE;FALSE
2019;6;"MESU";FALSE;FALSE;FALSE;FALSE
2015;7;"MESU";FALSE;FALSE;FALSE;FALSE
2016;7;"MESU";TRUE;TRUE;FALSE;FALSE
2017;7;"MESU";FALSE;FALSE;FALSE;FALSE
2018;7;"MESU";FALSE;FALSE;FALSE;FALSE
2019;7;"MESU";TRUE;TRUE;FALSE;FALSE
2015;8;"MESU";FALSE;FALSE;FALSE;FALSE
2016;8;"MESU";TRUE;TRUE;FALSE;FALSE
2017;8;"MESU";FALSE;FALSE;FALSE;FALSE
2018;8;"MESU";FALSE;FALSE;FALSE;FALSE
2019;8;"MESU";TRUE;TRUE;FALSE;FALSE
2015;9;"MESU";FALSE;FALSE;FALSE;FALSE
2016;9;"MESU";TRUE;TRUE;FALSE;FALSE
2017;9;"MESU";FALSE;FALSE;FALSE;FALSE
2018;9;"MESU";FALSE;FALSE;FALSE;FALSE
2019;9;"MESU";TRUE;TRUE;FALSE;FALSE
2015;1;"PAIN";TRUE;TRUE;FALSE;FALSE
2016;1;"PAIN";TRUE;TRUE;FALSE;FALSE
2017;1;"PAIN";FALSE;TRUE;FALSE;FALSE
2018;1;"PAIN";FALSE;FALSE;FALSE;TRUE
2019;1;"PAIN";TRUE;FALSE;FALSE;FALSE
2015;2;"PAIN";TRUE;TRUE;FALSE;FALSE
2016;2;"PAIN";TRUE;TRUE;FALSE;FALSE
2017;2;"PAIN";TRUE;TRUE;FALSE;FALSE
2018;2;"PAIN";TRUE;TRUE;FALSE;FALSE
2019;2;"PAIN";FALSE;FALSE;FALSE;TRUE
2015;3;"PAIN";TRUE;TRUE;FALSE;FALSE
2016;3;"PAIN";FALSE;FALSE;FALSE;TRUE
2017;3;"PAIN";TRUE;TRUE;FALSE;FALSE
2018;3;"PAIN";FALSE;FALSE;FALSE;TRUE
2019;3;"PAIN";FALSE;FALSE;FALSE;TRUE
2015;4;"PAIN";FALSE;TRUE;FALSE;FALSE
2016;4;"PAIN";TRUE;TRUE;FALSE;FALSE
2017;4;"PAIN";TRUE;TRUE;FALSE;FALSE
2018;4;"PAIN";FALSE;FALSE;TRUE;FALSE
2019;4;"PAIN";TRUE;TRUE;FALSE;FALSE
2015;5;"PAIN";TRUE;TRUE;FALSE;FALSE
2016;5;"PAIN";FALSE;FALSE;FALSE;FALSE
2017;5;"PAIN";TRUE;TRUE;FALSE;FALSE
2018;5;"PAIN";FALSE;FALSE;FALSE;FALSE
2019;5;"PAIN";FALSE;FALSE;FALSE;TRUE
2015;6;"PAIN";TRUE;TRUE;FALSE;FALSE
2016;6;"PAIN";TRUE;TRUE;FALSE;FALSE
2017;6;"PAIN";FALSE;TRUE;FALSE;FALSE
2018;6;"PAIN";FALSE;FALSE;TRUE;FALSE
2019;6;"PAIN";TRUE;FALSE;FALSE;FALSE
2015;7;"PAIN";FALSE;FALSE;FALSE;FALSE
2016;7;"PAIN";TRUE;TRUE;FALSE;FALSE
2017;7;"PAIN";FALSE;FALSE;FALSE;TRUE
2018;7;"PAIN";FALSE;FALSE;FALSE;FALSE
2019;7;"PAIN";TRUE;TRUE;FALSE;FALSE
2015;8;"PAIN";FALSE;FALSE;FALSE;FALSE
2016;8;"PAIN";TRUE;TRUE;FALSE;FALSE
2017;8;"PAIN";FALSE;FALSE;FALSE;TRUE
2018;8;"PAIN";FALSE;FALSE;FALSE;FALSE
2019;8;"PAIN";TRUE;TRUE;FALSE;FALSE
2015;9;"PAIN";FALSE;FALSE;FALSE;FALSE
2016;9;"PAIN";TRUE;TRUE;FALSE;FALSE
2017;9;"PAIN";FALSE;FALSE;FALSE;FALSE
2018;9;"PAIN";FALSE;FALSE;FALSE;FALSE
2019;9;"PAIN";TRUE;TRUE;FALSE;FALSE
